n_estimator,rf,cpon
1,0.3574,0.9466
2,0.61,0.9466
3,0.6732,0.9466
4,0.7334,0.9466
5,0.9048,0.9466
6,0.8558,0.9466
7,0.8486,0.9466
8,0.8694,0.9466
9,0.8728,0.9466
10,0.8892,0.9466
11,0.9006,0.9466
12,0.9246,0.9466
13,0.9122,0.9466
14,0.9432,0.9466
15,0.9458,0.9466
16,0.956,0.9466
17,0.9426,0.9466
18,0.9262,0.9466
19,0.9446,0.9466
20,0.9448,0.9466
21,0.9532,0.9466
22,0.9238,0.9466
23,0.9504,0.9466
24,0.956,0.9466
25,0.957,0.9466
26,0.9412,0.9466
27,0.9442,0.9466
28,0.9558,0.9466
29,0.956,0.9466
30,0.9466,0.9466
